file_path,animal,sequence,image_path,animal_count,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,d1,d2,d3,d4,e1,e2,e3,e4,f1,f2,f3,f4,g1,g2,g3,g4,h1,h2,h3,h4
1.02-Agouti/SEQ75520/SEQ75520_IMG_0001.JPG,Agouti,SEQ75520,SEQ75520_IMG0001.JPG,1,1121,841,1392,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0002.JPG,Agouti,SEQ75520,SEQ75520_IMG0002.JPG,1,1227,825,1537,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0003.JPG,Agouti,SEQ75520,SEQ75520_IMG0003.JPG,1,1401,788,1734,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0004.JPG,Agouti,SEQ75520,SEQ75520_IMG0004.JPG,1,1619,757,1916,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0005.JPG,Agouti,SEQ75520,SEQ75520_IMG0005.JPG,1,1780,714,1918,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0006.JPG,Agouti,SEQ75520,SEQ75520_IMG0006.JPG,1,1828,719,1918,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0007.JPG,Agouti,SEQ75520,SEQ75520_IMG0007.JPG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0008.JPG,Agouti,SEQ75520,SEQ75520_IMG0008.JPG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0009.JPG,Agouti,SEQ75520,SEQ75520_IMG0009.JPG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75520/SEQ75520_IMG_0010.JPG,Agouti,SEQ75520,SEQ75520_IMG0010.JPG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75583/SEQ75583_IMG_0001.JPG,Agouti,SEQ75583,SEQ75583_IMG0001.JPG,1,455,612,1610,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75583/SEQ75583_IMG_0002.JPG,Agouti,SEQ75583,SEQ75583_IMG0002.JPG,1,330,593,1344,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75583/SEQ75583_IMG_0003.JPG,Agouti,SEQ75583,SEQ75583_IMG0003.JPG,1,336,591,1235,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75583/SEQ75583_IMG_0004.JPG,Agouti,SEQ75583,SEQ75583_IMG0004.JPG,1,336,593,1225,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75583/SEQ75583_IMG_0005.JPG,Agouti,SEQ75583,SEQ75583_IMG0005.JPG,1,334,595,1223,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02-Agouti/SEQ75583/SEQ75583_IMG_0006.JPG,Agouti,SEQ75583,SEQ75583_IMG0006.JPG,1,416,630,1197,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
