file_path,animal,sequence,image_path,animal_count,a1,a2,a3,a4
1.63-European_Hare/SEQ81358/SEQ81358_IMG_0001.JPG,European_Hare,SEQ81358,SEQ81358_IMG_0001.JPG,1,0,32,2048,1120
1.63-European_Hare/SEQ81358/SEQ81358_IMG_0004.JPG,European_Hare,SEQ81358,SEQ81358_IMG_0004.JPG,1,917,769,1118,857
1.63-European_Hare/SEQ81062/SEQ81062_IMG_0001.JPG,European_Hare,SEQ81062,SEQ81062_IMG_0001.JPG,1,894,1003,2048,1474
1.63-European_Hare/SEQ79517/SEQ79517_IMG_0002.JPG,European_Hare,SEQ79517,SEQ79517_IMG_0002.JPG,1,769,36,1250,819
1.63-European_Hare/SEQ79517/SEQ79517_IMG_0003.JPG,European_Hare,SEQ79517,SEQ79517_IMG_0003.JPG,1,556,360,1000,938
1.63-European_Hare/SEQ79517/SEQ79517_IMG_0004.JPG,European_Hare,SEQ79517,SEQ79517_IMG_0004.JPG,1,1712,299,1856,707
1.63-European_Hare/SEQ79517/SEQ79517_IMG_0005.JPG,European_Hare,SEQ79517,SEQ79517_IMG_0005.JPG,1,1853,915,2048,1032
1.63-European_Hare/SEQ80804/SEQ80804_IMG_0001.JPG,European_Hare,SEQ80804,SEQ80804_IMG_0001.JPG,1,1135,943,1690,1192
1.63-European_Hare/SEQ80804/SEQ80804_IMG_0008.JPG,European_Hare,SEQ80804,SEQ80804_IMG_0008.JPG,1,126,786,345,980
1.63-European_Hare/SEQ80804/SEQ80804_IMG_0011.JPG,European_Hare,SEQ80804,SEQ80804_IMG_0011.JPG,1,706,840,860,957
1.63-European_Hare/SEQ75205/SEQ75205_IMG_0001.JPG,European_Hare,SEQ75205,SEQ75205_IMG_0001.JPG,1,0,931,2048,1474
1.63-European_Hare/SEQ75205/SEQ75205_IMG_0002.JPG,European_Hare,SEQ75205,SEQ75205_IMG_0002.JPG,1,57,1388,1351,1474
1.63-European_Hare/SEQ75236/SEQ75236_IMG_0001.JPG,European_Hare,SEQ75236,SEQ75236_IMG_0001.JPG,1,0,33,2048,1398
1.63-European_Hare/SEQ80787/SEQ80787_IMG_0001.JPG,European_Hare,SEQ80787,SEQ80787_IMG_0001.JPG,1,509,769,1647,1293
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0001.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0001.JPG,1,0,864,1540,1460
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0002.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0002.JPG,1,0,803,1645,1474
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0003.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0003.JPG,1,891,968,1448,1273
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0004.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0004.JPG,1,1010,809,1398,1304
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0005.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0005.JPG,1,972,662,1388,1429
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0006.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0006.JPG,1,1105,749,1396,1132
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0007.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0007.JPG,1,1093,636,1410,1390
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0008.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0008.JPG,1,1090,692,1391,1091
1.63-European_Hare/SEQ83213/SEQ83213_IMG_0009.JPG,European_Hare,SEQ83213,SEQ83213_IMG_0009.JPG,1,1106,849,1354,1185
